EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Acabado sintetico
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro y construcción de contenedor de raíces Tipo B (1,50x2,20)m
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro y construcción de contenedor de raíces Tipo C (1,20x2,20)m
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro y construcción de contenedor de raíces Tipo D (0,84x4,20)m
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro y construcción de contenedor de raíces Tipo E (0,70x4,20)m
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro y construcción de contenedor de raíces Tipo F (0,70x4,20)m
PERFILES VIALES (VIAS-ANDENES) > RAMPA PEATONAL ; UM M2 ; Suministro y construcción de remate de rampa en concreto fundido en sitio
PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA ; UM M3 ; Suministro, extendida y compactación de Rodadura Asfáltica MD-13
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; superficie en caucho reciclado
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; superficie en ecopavimento
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Tableros para baloncesto
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Tacha reflectiva bidireccional (Línea central)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Tacha reflectiva bidireccional (Línea de borde)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Taponamiento o abandono de red existente
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM ML ; Tendido, conexionado e identificación cable 3x120 mm² Al XLPE 15 kV
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM ML ; Tendido, conexionado e identificación cable 3x240 mm² Al XLPE 15 kV
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; totem parque
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM GB ; TRAMITE ENTREGA CAR
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Tramite Licencias de intervencion de espacio publico
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Tramite PMT y permiso de circulacion de volquetas
PERFILES VIALES (VIAS-ANDENES) > VÍA ; UM VJ ; Transporte de equipos para asfaltos
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM KG ; Transporte de prefabricados
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM KG ; Transporte de tubería en concreto
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM M3 ; Transporte y disposición final de escombros (21 km)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM M3 ; Transporte y disposición final de sobrantes
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CCR 24" Hex (0-1,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CCR 24" Hex (1,5-2,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CCR 27" Hex (1,5-2,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CCR 30" Hex (0-1,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CCR 36" Hex (1,5-2,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CCR 40" Hex (1,5-2,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CER 12" Hex (0-1,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CER 18" Hex (0-1,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CSR 12" Hex (0-1,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CSR 14" Hex (0-1,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CSR 18" Hex (1,5-2,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CSR 20" Hex (1,5-2,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería CSR 24" Hex (1,5-2,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Tubería de acero al carbón SCH 40 Ø4"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería NOVAFORT 12" Hex (2,5-3,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería NOVAFORT 14" Hex (0-1,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería NOVAFORT 14" Hex (2,5-3,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería NOVAFORT 18" Hex (2,5-3,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería NOVAFORT 24" Hex (2,5-3,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería NOVAFORT 27" Hex (4,5-5,5)m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Tubería perforada PVC Ø6" para drenaje de bioswale
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Tuberia plana 12"x1"
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM ML ; TUBERIA PVC-RDE21 1"
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM ML ; TUBERIA PVC-RDE21 4"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Unión Ø12"
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM UN ; Uniones GRP para tuberia de 48"
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM UN ; Uniones GRP para tuberia de 92"
VALLAS INFORMATIVAS HUMEDAL > VALLAS INFORMATIVAS HUMEDAL ; UM AÑO ; VALLAS INFORMATIVAS HUMEDAL
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM UND ; VALVULA 1"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Válvula de purga
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Verificación de cotas y pendientes
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; VIA PEATONAL PTN2 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; VIA PEATONAL PTN3 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; VIA PEATONAL PTN4 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; VIA PEATONAL V-PE - MANTENIMIENTO
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2024
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2025
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2026
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2027
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2028
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2029
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2030
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2031
COSTOS VIGILANCIA (PTAR + HUMEDALES + URBANISMO + CAMPAMENTO) > VIGILACIA AÑO 2021 - 2032 ; UM AÑO ; VIGILACIA AÑO 2032
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM MES ; VIGILANCIA MIENTRAS SE ENTREGAN LAS OBRAS
